Sector,Score
Steel,1.673340881264965
Lumber & Wood Production,1.3713596277068578
Coking Coal,0.9145636543733839
Aluminum,0.8708751701983195
Paper & Paper Products,0.6298147630811296
Agricultural Inputs,0.5866043242010327
Building Materials,0.5803584018886858
Other Precious Metals & Mining,0.5665485459144499
Other Industrial Metals & Mining,0.5426090109391974
Silver,0.5042430406589197
Chemicals,0.5036745256805978
Copper,0.44648701160674087
Specialty Chemicals,0.4211657203669015
Gold,0.3883553221188186
