Sector,Score
Residential Construction,0.8021158778558843
Department Stores,0.7777649130566752
Auto Manufacturers,0.7320594350538219
Auto & Truck Dealerships,0.6843309363165009
Recreational Vehicles,0.6430822018406306
Internet Retail,0.5907263999261135
Luxury Goods,0.5519207163880755
Apparel Manufacturing,0.45941929181521646
"Furnishings, Fixtures & Appliances",0.4484343723979422
Auto Parts,0.442742190720489
Travel Services,0.34926753589650394
Specialty Retail,0.34921356375027396
Resorts & Casinos,0.33455473489084636
Packaging & Containers,0.3298751799228881
Apparel Retail,0.32872503329929603
Leisure,0.3020100524461824
Textile Manufacturing,0.2894605216571564
Lodging,0.2868802571148912
Home Improvement Retail,0.2859080949169267
Footwear & Accessories,0.2821574962965731
Gambling,0.2729061268000771
Personal Services,0.24578807088064653
Restaurants,0.21065699675638933
