Sector,Score
Financial Conglomerates,1.3994088358820942
Banks - Diversified,1.1173462623823809
Mortgage Finance,1.0404531844075382
Insurance - Life,0.7422492750116533
Insurance - Reinsurance,0.7297870133112707
Banks - Regional,0.7103149667129813
Capital Markets,0.6716303607671215
Asset Management,0.6618415918228536
Insurance - Specialty,0.6111508852725249
Insurance - Property & Casualty,0.5948235897864292
Credit Services,0.49191499544555084
Insurance - Diversified,0.36635427107546586
Financial Data & Stock Exchanges,0.32205409833555715
Insurance Brokers,0.3057673867321753
Shell Companies,0.23490328305440372
