Sector,Score
Marine Shipping,1.2070444270199205
Rental & Leasing Services,0.6542449152089459
Airlines,0.6030216843809467
Trucking,0.5347341323262096
Conglomerates,0.5171854597593265
Farm & Heavy Construction Machinery,0.5135644600820546
Building Products & Equipment,0.5060119624012386
Airports & Air Services,0.48567821297658065
Integrated Freight & Logistics,0.4594076953435723
Electrical Equipment & Parts,0.38898989546287627
Metal Fabrication,0.37434322321518765
Specialty Business Services,0.3737279853314617
Engineering & Construction,0.3447049507117491
Business Equipment & Supplies,0.33122165981695356
Tools & Accessories,0.3295776809529553
Security & Protection Services,0.3214690369048523
Industrial Distribution,0.294960591692553
Specialty Industrial Machinery,0.2778270510873936
Staffing & Employment Services,0.2611026793486464
Consulting Services,0.2558982051217273
Railroads,0.249321940461204
Aerospace & Defense,0.24646529999375147
Pollution & Treatment Controls,0.23631204937086597
Waste Management,0.2331848010290269
