Sector,Score
Electronics & Computer Distribution,1.4256362747837295
Computer Hardware,1.1569986421560452
Semiconductor Equipment & Materials,0.921255229661229
Semiconductors,0.8888448971402277
Communication Equipment,0.8307655396767972
Solar,0.7566885098101656
Electronic Components,0.7510130709212053
Software - Application,0.715442002005247
Scientific & Technical Instruments,0.6839979980533646
Software - Infrastructure,0.6653603089636808
Information Technology Services,0.6100093798993703
Consumer Electronics,0.5939881469289389
