Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Apparel Manufacturing,0.05814340578002737,0.0464431996844774,0.07300423224351517,0.03559857117776205,0.04870187804643077,0.0448560548091089,0.042411379446200874,0.040464479488869734,0.04645383719888959,0.023342253939934582
Apparel Retail,0.03254247574325738,0.03167630581744697,0.03374723943332305,0.03219349045641091,0.020285740938348028,0.035764154910581,0.012141807655582145,0.039475685817149234,0.03866302498432883,0.05223510754286847
Auto & Truck Dealerships,0.07891442324991763,0.059828304151183356,0.08517160428410103,0.10888974713197805,0.061059070983584866,0.02219089188942561,0.1058556432277703,0.07223264540337711,0.03973761977254411,0.05045098622261869
Auto Manufacturers,0.034467842637580036,0.017543991704710212,0.06275802420933761,0.10577861149963583,0.10489635271538937,0.06724626091955788,0.03391644816585404,0.08059936108716596,0.0681472194859855,0.15670532262860543
Auto Parts,0.03442790307484819,0.04472135761200679,0.0674944788666461,0.05695771388441928,0.06633985550108408,0.055694179783935496,0.021921407312597563,0.0,0.07298289603295426,0.022202398651997225
Department Stores,0.10554628900033389,0.06814032808669127,0.06624458110985634,0.1371204223143427,0.07670545792312848,0.0650522556693276,0.18557142353602996,0.04946503726991532,0.023126175338049615,0.0007929428089999009
Footwear & Accessories,0.02816235104606065,0.02382910565765231,0.029082986828717426,0.014294406959410247,0.01636383102360074,0.032766666167048326,0.02186342811556977,0.04297449419400638,0.03832721411301156,0.03449301219149569
"Furnishings, Fixtures & Appliances",0.06431013063548482,0.05888115421739153,0.03541789485081429,0.058765895277575454,0.0674333696027503,0.039916949674972786,0.041596522201580374,0.03179351959839764,0.020484463150353724,0.029834473188621268
Gambling,0.01246017209209226,0.027181434163692314,0.00881085561559666,0.017714121543001216,0.021015193951542048,0.0697150921770941,0.04295228981230736,0.02933421226104153,0.02632757231127429,0.017395182872435324
Home Improvement Retail,0.0367486460774199,0.03154198932634825,0.03312229055492817,0.02285340371905712,0.0007875303688206209,0.0032401911696837422,0.01978890044236228,0.0560823487652756,0.03367063669741202,0.048072157795618985
Internet Retail,0.012395194140005837,0.06459032546567696,0.024334744081171724,0.019282559387954448,0.025252825653704847,0.045888415103910035,0.013768927548857461,0.12174839004107298,0.0729605086415331,0.19050450986222617
Leisure,0.03014843262668086,0.030258925353751038,0.02649783244394254,0.022574703673702765,0.0468430277393151,0.054551344357452555,0.017202042666033805,0.02854824806044318,0.03279752843198711,0.012587967092873426
Lodging,0.015101031945918164,0.028017523475695406,0.037262576874294205,0.009952288716363585,0.00882940522856155,0.024374714379766394,0.022490724099098365,0.049287561482683435,0.09156443091251008,0.0
Luxury Goods,0.0657329211362699,0.06006987200105354,0.0674944788666461,0.048081187045289006,0.04648815631704756,0.07538191441455164,0.10332954265074396,0.02502408599969575,0.0382152771559058,0.022103280800872236
Packaging & Containers,0.03370536625478615,0.04246614167153452,0.027730289766916612,0.04068408134601377,0.04462863006436566,0.020747675715555577,0.023834861738572657,0.03465848587799807,0.03069311363839886,0.03072653384874616
Personal Services,0.023005249983425468,0.029019450518064222,0.018827407262801278,0.01797209418683133,0.0231127556830519,0.0263388591316366,0.021220536180316146,0.026114294406977333,0.030491627115608492,0.02968579641193379
Recreational Vehicles,0.08464752237491165,0.0626852737314365,0.10521198176271303,0.07259316475465204,0.05178427539114158,0.0386780142825391,0.05374113329353113,0.04908473201156128,0.04600608937046656,0.07865001486767767
Residential Construction,0.12510012780460628,0.11965660830236671,0.10521198176271303,0.06731366186340461,0.10860949794425272,0.04713597248853169,0.033053434217613475,0.07994016530601897,0.03105131190113728,0.08504311626523937
Resorts & Casinos,0.022508545722419688,0.02947946822772971,0.028848446612356804,0.02165059299700148,0.040909577559001854,0.07509799006647423,0.048009502393165086,0.0,0.047483657204262564,0.02056695410843493
Restaurants,0.02639829440568102,0.021899860106370354,0.01797591648207157,0.01272251341060912,0.008481598664616832,0.013490200516000615,0.01863701527621535,0.04875513412098778,0.02529775230590132,0.016998711467935374
Specialty Retail,0.03917110132312984,0.03798460842279386,0.02956369735481193,0.03816754023182736,0.01963659722832089,0.024938732160911702,0.03743515748565446,0.056488007707519904,0.028163338407808724,0.03766478342749529
Textile Manufacturing,0.031242145482222913,0.024726822657497385,0.0,0.03137501188548521,0.06425588098272543,0.05302796904959816,0.03104472431978651,0.03792911109984281,0.0,0.015858856179998018
Travel Services,0.005120427462920118,0.039357949644429256,0.016186458732725083,0.00746421653727269,0.027579490489214733,0.06390550116233625,0.0482131482145571,0.0,0.11735470582967675,0.024085637823371992
