Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Beverages - Brewers,0.08920849924981784,0.09130365407828574,0.07797524146004935,0.04506212347192339,0.1317061659170194,0.12665378224853102,0.024715129897673434,0.16281925343811396,0.061633610577948396,0.10582262414723148
Beverages - Non-Alcoholic,0.07313111132851077,0.061082584885341545,0.06784459985303505,0.01916726942045192,0.03247273003467094,0.040501893867116306,0.03498454227348698,0.051407989521938445,0.06533020544536859,0.06600031730921783
Beverages - Wineries & Distilleries,0.04051085512530262,0.026388139417322737,0.04511133079233221,0.011937509902211284,0.02945096210088906,0.017696641194928853,0.04804235190372344,0.0,0.07855264093267933,0.057908932254481994
Confectioners,0.07861678603930103,0.06836573902034546,0.061987512095938516,0.021197447489907886,0.055655361450499014,0.018902451822225597,0.059365594166973915,0.1720694171578258,0.055591099736973064,0.042043471362843095
Discount Stores,0.07082681428830893,0.07494856165866812,0.0844731782483868,0.09720543777514902,0.03855398675025477,0.037804903644451195,0.025863821974404844,0.08750818598559267,0.08423970995947964,0.10376011423131842
Education & Training Services,0.06613793111242787,0.11164212830405772,0.09960999053566999,0.06300352448389288,0.17819069506420274,0.450000304671048,0.13866718898340671,0.1821381794368042,0.10620601407549585,0.19308265905124544
Farm Products,0.17015366141773025,0.1220047076387601,0.09735891730322546,0.17906264853316928,0.23301860123780355,0.05083293394774462,0.16049512385303188,0.1168958742632613,0.04030710172744722,0.09233698238933842
Food Distribution,0.04813589069129365,0.09047362085939223,0.21274726373667785,0.22681268814201438,0.04639976523553638,0.022557187829433455,0.0092421834274167,0.0,0.31243335465984223,0.06441377122005394
Grocery Stores,0.10002006795281099,0.12735774782766365,0.08975275188891098,0.24301359443787254,0.06425664458375796,0.10996629066848808,0.24067781305365737,0.10224296005239031,0.0633397312859885,0.0710772647945423
Household & Personal Products,0.07411465338976189,0.05451071053343664,0.047083410826969686,0.026894785155179575,0.03587934469143845,0.03182857435254805,0.06679794811473506,0.07432874918140145,0.04471458022321746,0.050452165635411717
Packaged Foods,0.08296953669907779,0.0925776585537967,0.057441761208903014,0.04758308142839463,0.09816987366963019,0.0461266254669898,0.09090639839614478,0.050589390962671905,0.04876661690481269,0.07044264635887673
Tobacco,0.10617419270565641,0.07934474722292942,0.05861404204990104,0.01905988975983314,0.05624586926429742,0.04712841028649489,0.10024190395534484,0.0,0.03888533447074714,0.08265905124543868
