Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Asset Management,0.07044883196187927,0.06766968428195215,0.08234311045330571,0.03939318328149188,0.05302127602432591,0.04682491216280372,0.026464730220782606,0.07495812395309884,0.07632888939749384,0.12438885008571976
Banks - Diversified,0.08413313745087742,0.07888646946282098,0.06861925871108811,0.029681290450320755,0.1042751761811743,0.5518650362044724,0.10464308335384484,0.042373324958123966,0.05286948560965841,0.0
Banks - Regional,0.07401586142830353,0.08421291326822682,0.049405866271983435,0.03694808914677859,0.09675016346706894,0.171691344596947,0.07110502958383007,0.03679857621440537,0.04354294215254334,0.04584418058289416
Capital Markets,0.06981794689953409,0.08540601239363262,0.05614302985452662,0.056099192945370635,0.06133833893010252,0.08397946203111537,0.036404865972328546,0.06461997487437188,0.05235452308748641,0.10546701377865264
Credit Services,0.0433665244956933,0.0526101036344777,0.07440642510840878,0.024187236687507434,0.02272340401042539,0.008963005228378902,0.04397164313388719,0.04800041876046902,0.11088859644103678,0.06279763794526638
Financial Conglomerates,0.11733618166226047,0.09468441426362151,0.2573222201665804,0.13067007137275355,0.11444836410128885,0.05365354518654593,0.06495430934416416,0.3745812395309884,0.14235852835154775,0.049399961902343026
Financial Data & Stock Exchanges,0.03118534961512523,0.033977873413530695,0.02531038231146692,0.01247374371660744,0.02878762532609106,0.001681416867652364,0.015733809217144987,0.05823387772194306,0.05269783143560108,0.06197218871039433
Insurance - Diversified,0.0531971468036632,0.04622293450313536,0.0323336821151724,0.05669283519876081,0.0,0.0035653486418378466,0.01893375822390155,0.08469430485762146,0.039537678091205584,0.03117658264016764
Insurance - Life,0.1025833868918593,0.06691849444718485,0.0753138205365601,0.13915514094241288,0.11879450451019855,0.020331869754901612,0.11128979386003371,0.04355108877721944,0.0475482062138811,0.016762969077401747
Insurance - Property & Casualty,0.05663199082649859,0.05538965734870355,0.07017878731815828,0.0843696523824078,0.057930653433985714,0.004304239836692265,0.07525543329301837,0.052475921273031835,0.08050580763288893,0.05778144644104389
Insurance - Reinsurance,0.04789558814609677,0.10638072426089241,0.05718271559257341,0.17858243087609654,0.09878700901374406,0.02116742604619894,0.04540327802661839,0.0,0.07787377696400984,0.09651406438504034
Insurance - Specialty,0.08353218646908543,0.07914539660547794,0.06786520092305416,0.08641085364972413,0.07275012291709833,0.012461468559455829,0.07347519723662439,0.0352282244556114,0.05304113978371573,0.04724109467267765
Insurance Brokers,0.026638966072145696,0.040777278747129,0.02500296876112522,0.031514546625193506,0.018329620813097042,0.005171426042076716,0.01526970579442697,0.03648450586264657,0.06105166790639125,0.04552670010794337
Mortgage Finance,0.12375138736160804,0.10764716145447446,0.03720321255420439,0.09317344219622428,0.08454744014689806,0.014047473648841116,0.29709536273939435,0.008349036850921275,0.019511357784516792,0.2551273096704553
Shell Companies,0.015465513915369575,7.088191473992763e-05,0.02136931932179214,0.000648290528349818,0.06751630112450134,0.0002920251920800776,0.0,0.03965138190954775,0.08988956914802311,0.0
