Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Aerospace & Defense,0.025136151585547068,0.029887808810751693,0.025463414257025266,0.02708457192307241,0.028475542295388394,0.025111616815207006,0.017362957827622524,0.0012202011072195234,0.04013294815643153,0.026590087215486065
Airlines,0.011986769663034151,0.06336664346109308,0.013525282369585239,0.07080680945603217,0.09884298815995392,0.22720750304058557,0.07271078064205636,0.0,0.04457490758860622,0.0
Airports & Air Services,0.025852572844092796,0.0551524489383588,0.02399437112681227,0.02382921472078005,0.07968737029949774,0.059286957824652785,0.13592522151214825,0.012337588972997403,0.036747118938899766,0.03286534779834077
Building Products & Equipment,0.06075973100965732,0.05134883177019613,0.08181687203896643,0.04720453963735478,0.031924443380854685,0.027756878571893035,0.036854988708103616,0.05490904982487855,0.053023949305749704,0.06041267815358434
Business Equipment & Supplies,0.039683699315682434,0.04379753298046139,0.023653218930696458,0.06980953044960918,0.02937048791038631,0.024091208258906528,0.024287578765493575,0.02914924867246639,0.023607616562606782,0.02377153797064454
Conglomerates,0.01867468203090938,0.014229889860993078,0.00504124161048177,0.14577872535065445,0.052716260351975436,0.1142881114692102,0.06822860923261453,0.038594509095017514,0.010654490106544904,0.04897894065092533
Consulting Services,0.023300520699116294,0.02374763045282053,0.029707316633196146,0.01267641090005691,0.02424450652980002,0.011439147726191673,0.01622751655474332,0.057213874138515426,0.05032149846239866,0.007019783024888321
Electrical Equipment & Parts,0.03473409130475487,0.033331104756690835,0.026129995782078284,0.02915574507013089,0.042654235554502935,0.062820617562546,0.01780179694555324,0.03177042142130833,0.029758021930233285,0.08083386513507763
Engineering & Construction,0.02227856803687435,0.037420508592323265,0.025725923682355427,0.05632359843093468,0.04283196153598004,0.026276768010926446,0.02039474660302195,0.03656084058298498,0.04556891249650546,0.031323122739842585
Farm & Heavy Construction Machinery,0.04057119418855712,0.04312602054975585,0.05671396811791992,0.033717528312396265,0.025507867912246174,0.029187425390598296,0.01798082481581538,0.1738560614619817,0.055571086882241494,0.03733248245054243
Industrial Distribution,0.03619949766538877,0.02579212843882495,0.03119268246485595,0.04130397218268543,0.02085125916558866,0.00482130279641395,0.004157502899817079,0.046661394192746584,0.03404466809554873,0.049936183790682834
Integrated Freight & Logistics,0.045943501378503546,0.0527395292973056,0.058715637580905325,0.0463222117936659,0.02239579688155819,0.03199296206389358,0.027016520199818695,0.05838888261213423,0.05032149846239866,0.06557115507338863
Marine Shipping,0.2602209791192291,0.12532165377577567,0.17209755842679147,0.052173438546550016,0.1017789185013387,0.10424080496642248,0.2249343181797808,0.040085866003841376,0.025999440872239307,0.10019144862795148
Metal Fabrication,0.040186024623475876,0.04619520814362534,0.029707316633196146,0.0718329951003225,0.05648170751997367,0.026078112032836963,0.015211526752995648,0.028606937069257713,0.02919889416953997,0.030844501169963835
Pollution & Treatment Controls,0.014821176215007444,0.020390635572055327,0.02310569071470811,0.01789341755206589,0.025257176335713043,0.02800269594669947,0.004315486980797874,0.03280985199412496,0.061472991022893185,0.00824292703680068
Railroads,0.03408154530600746,0.034025502772455224,0.0321988980282384,0.00909445259068303,0.027412455383027223,0.005534371792266304,0.018871350104392975,0.0316122472037058,0.03739943465970864,0.019091682620718992
Rental & Leasing Services,0.05709884793623373,0.05914713566052964,0.09785939596817553,0.0442542559100201,0.052716260351975436,0.041468473232544024,0.11582996451118281,0.06659134561066546,0.0677476470040071,0.05153158902361199
Security & Protection Services,0.023351937809890363,0.039928981171461646,0.014809582179160095,0.0372667418189643,0.03253060369821268,0.029164990782304213,0.04711462069981895,0.036922381651790764,0.02506756127108378,0.03531163582216549
Specialty Business Services,0.02394190003962741,0.0310994767355119,0.02988520475674822,0.022840906276139408,0.03835698047998212,0.02235925339291561,0.02453541120187616,0.048921025872782735,0.04935855620787129,0.0824292703680068
Specialty Industrial Machinery,0.029739540470769037,0.033934281585397706,0.03490090345718149,0.022736131476707572,0.02816348155790468,0.030848498380307142,0.013261627735970342,0.024110270025985765,0.046252290870686184,0.013880025526483725
Staffing & Employment Services,0.025306464290590632,0.030834316763345537,0.027573641957883716,0.02316110589683295,0.012979382283630315,0.023010098852503207,0.01396268294668243,0.029420404474070728,0.04305283757338552,0.03180174430972133
Tools & Accessories,0.038457855181763714,0.0434219109137336,0.03327219462917968,0.03418259766842932,0.06011503373470882,0.015003421513553888,0.012740661179560032,0.02198621624675178,0.03407573074892058,0.03632205913635397
Trucking,0.050113590296047276,0.040406981744144754,0.08604877921339574,0.04386262532674559,0.04063110975745143,0.02460677886366912,0.03393169763295963,0.07043271946672694,0.0681203988444693,0.07657945118059986
Waste Management,0.017559158989240018,0.0213538372523886,0.016860909440462677,0.016688473609165828,0.024074170418349437,0.005402000712952418,0.01634160736717414,0.027838662298045422,0.03792749976703011,0.04913848117421825
