Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Real Estate - Development,0.16846812622174995,0.1710946288273688,0.26777320151284334,0.4547610131907752,0.23492296380010855,0.2987978522466564,0.20534514847760174,0.027882797731569,0.12040353827034139,0.12536467450195882
Real Estate - Diversified,0.08186946216758763,0.022497557048917996,0.1572246320809355,0.0647770047858953,0.08054501616003722,0.11547577546688441,0.07229490578005862,0.05122873345935728,0.14533226113019956,0.0999416520796866
Real Estate Services,0.046124537539582046,0.25958059144610346,0.02768575912249107,0.10764874225288883,0.05724011300713304,0.07960069265385235,0.06969501180772436,0.20756143667296786,0.04554426493164706,0.16154038509627405
REIT - Diversified,0.08236219504174441,0.06151977834362651,0.09019728893064195,0.028206695754870864,0.07830765460003618,0.05529647238172609,0.041810553842800566,0.11020793950850662,0.08297390160099423,0.09869133950154205
REIT - Healthcare Facilities,0.052355015094222475,0.03764744808130589,0.045944999723383305,0.04103736583121176,0.07003914448698888,0.024942996335675805,0.10445384721310344,0.0,0.06659843555815484,0.04676169042260565
REIT - Hotel & Motel,0.02399222404452703,0.064556350222002,0.04439762926637817,0.0880762436614545,0.0880961114250407,0.10489049604908668,0.12504956563341074,0.0,0.14036113751005191,0.0
REIT - Industrial,0.06733623818704312,0.04176242859003936,0.030493745368010628,0.017408820036209364,0.03709309954738556,0.015029086001063166,0.055603248553410436,0.13591682419659737,0.03435923678631479,0.12269734100191715
REIT - Mortgage,0.23377443007906432,0.20151145173001214,0.06747041297961406,0.07378572730578803,0.14837239818954223,0.19364399270600616,0.13467163182291864,0.0,0.02193142773594561,0.07476869217304327
REIT - Office,0.06499902860437265,0.029588912316240636,0.07023559383943431,0.03895680008102795,0.08352816490670525,0.05895484555452179,0.04294787725910654,0.12495274102079396,0.0820966444915564,0.07518546303242477
REIT - Residential,0.052109648884056226,0.02574190573765295,0.05423254714184168,0.023115445691232347,0.04353784657299309,0.016477642972856033,0.043058451559287315,0.09914933837429112,0.07902624460852402,0.06259898307910311
REIT - Retail,0.07273194656180211,0.04690352755784766,0.05950515589174296,0.029790494179609602,0.062300012499476295,0.020778967438531408,0.06920367532601474,0.005482041587901701,0.06199283573360626,0.05076269067266816
REIT - Specialty,0.053877147574248316,0.037595420098882865,0.08483903414268304,0.032435647229036364,0.016017474804552855,0.016111180193139715,0.03586608272456284,0.23761814744801513,0.11938007164266393,0.08168708843877637
