Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Communication Equipment,0.09897433154251964,0.0961442595742628,0.07612984664466395,0.05352932243626383,0.09485086320306729,0.14668225253431885,0.11125867692974163,0.07900638991155685,0.055438436556321594,0.018751160344080697
Computer Hardware,0.1478423123715019,0.13446591020645715,0.12741732227896385,0.1309211139103802,0.0859406305991428,0.13361743651911637,0.16735730897024081,0.11023655367948881,0.06238960742977609,0.05681044619097716
Consumer Electronics,0.07346157941367311,0.0585655325398437,0.057916964672256314,0.022876742009603275,0.017012842290172237,0.03183618021243255,0.10670153625285109,0.1015615081883966,0.05703378724858983,0.06702147410112012
Electronic Components,0.08591060545525195,0.0840907757043331,0.08584855047164233,0.0936763142634617,0.09712468526615452,0.07416518386566684,0.0727702068631888,0.03228809614489442,0.07247450287732894,0.05266415000928275
Electronics & Computer Distribution,0.20426617360902988,0.1854099054554076,0.11984797640100563,0.49392965702552527,0.23633673414764267,0.042658561163578294,0.027856730732678883,0.04083618975075113,0.042561677397299304,0.0319326691008107
Information Technology Services,0.05693408545366585,0.07462506011457833,0.058476548871988256,0.053794319081987896,0.08056934118669637,0.06188157528791577,0.08166485532715044,0.016334475900300453,0.07424078400091164,0.051488334674175386
Scientific & Technical Instruments,0.0654766251295782,0.07546465377569535,0.06507873987366435,0.034717100493806885,0.09847363922818445,0.08089094808877878,0.08174250812143934,0.04798781261901739,0.07184775796250926,0.06231821276069064
Semiconductor Equipment & Materials,0.08271845048680154,0.07762225449630747,0.14240759548825374,0.021475202479370667,0.03290070544978785,0.05263717196207615,0.12068208381990693,0.14260928441454024,0.12449433080736144,0.12370815025682282
Semiconductors,0.08591060545525195,0.08778067117403825,0.12226914764142999,0.02190817027129346,0.06968159237768333,0.08484191984632838,0.0914206356338678,0.12272015572764589,0.10261523559911119,0.09969676341357757
Software - Application,0.03255099863403062,0.035880142182213866,0.04746919849608459,0.021059016384809216,0.06850340120221528,0.09538585786191253,0.0615067047753735,0.10245017138504507,0.10557802974189508,0.14505848134166718
Software - Infrastructure,0.04959901922957393,0.054272770992420595,0.06687649511879319,0.013985138294159016,0.029979289743887017,0.07301660800934014,0.06530706840292254,0.10790910245017138,0.09760127628055383,0.10681354044185903
Solar,0.01635521321912164,0.0356780637844417,0.03026161404125392,0.03812790334933879,0.088626275305366,0.1223863046485355,0.01173168417063827,0.09606025982819177,0.133724574098342,0.18373661736493596
